"codigo";"lapso";"cod_mat";"cod_comp"
"31653";"2014-1";"T3EB01";"3809"
"31653";"2014-1";"T3GB01";"3811"
"31653";"2014-1";"T3HB01";"3814"
"31653";"2014-1";"T3IB01";"3935"
"31653";"2014-1";"T3DB01";"3937"
"31675";"2014-1";"T2AB16";"3800"
"31675";"2014-1";"T2EB16";"3804"
"31675";"2014-1";"T2GB16";"3813"
"31697";"2014-1";"T2DB20";"3803"
"31697";"2014-1";"T3AB01";"3805"
"31697";"2014-1";"T3BB01";"3806"
"31697";"2014-1";"T3CB01";"3807"
"31697";"2014-1";"T3EB01";"3809"
"31697";"2014-1";"T3GB01";"3811"
"31697";"2014-1";"T2GB14";"3813"
"31697";"2014-1";"T3HB01";"3814"
"31697";"2014-1";"T3IB01";"3935"
"31697";"2014-1";"T3DB01";"3937"
"31756";"2014-1";"T2DB20";"3803"
"31756";"2014-1";"T3AB01";"3805"
"31756";"2014-1";"T3BB01";"3806"
"31756";"2014-1";"T3CB01";"3807"
"31756";"2014-1";"T3EB01";"3809"
"31756";"2014-1";"T3GB01";"3811"
"31756";"2014-1";"T3HB01";"3814"
"31756";"2014-1";"T3IB01";"3935"
"31756";"2014-1";"T3DB01";"3937"
"31766";"2014-1";"T2AB16";"3800"
"31766";"2014-1";"T2BB16";"3801"
"31766";"2014-1";"T2CB16";"3802"
"31766";"2014-1";"T2DB16";"3803"
"31766";"2014-1";"T2EB16";"3804"
"31766";"2014-1";"T2FB16";"3812"
"31766";"2014-1";"T2GB16";"3813"
"31782";"2014-1";"T3AB02";"3805"
"31782";"2014-1";"T3BB02";"3806"
"31782";"2014-1";"T3CB02";"3807"
"31782";"2014-1";"T3EB02";"3809"
"31782";"2014-1";"T3GB02";"3811"
"31782";"2014-1";"T3HB02";"3814"
"31782";"2014-1";"T3IB02";"3935"
"31782";"2014-1";"T3DB02";"3937"
"31792";"2014-1";"T3AB02";"3805"
"31792";"2014-1";"T3BB02";"3806"
"31792";"2014-1";"T3CB02";"3807"
"31792";"2014-1";"T3EB02";"3809"
"31792";"2014-1";"T3GB02";"3811"
"31792";"2014-1";"T3HB02";"3814"
"31792";"2014-1";"T3IB02";"3935"
"31792";"2014-1";"T3DB02";"3937"
"31815";"2014-1";"T3AB01";"3805"
"31815";"2014-1";"T3BB01";"3806"
"31815";"2014-1";"T3CB01";"3807"
"31815";"2014-1";"T3EB01";"3809"
"31815";"2014-1";"T3GB01";"3811"
"31815";"2014-1";"T3HB01";"3814"
"31815";"2014-1";"T3IB01";"3935"
"31815";"2014-1";"T3DB01";"3937"
"31818";"2014-1";"T3AB01";"3805"
"31818";"2014-1";"T3BB01";"3806"
"31818";"2014-1";"T3CB01";"3807"
"31818";"2014-1";"T3EB01";"3809"
"31818";"2014-1";"T3GB01";"3811"
"31818";"2014-1";"T3HB01";"3814"
"31818";"2014-1";"T3IB01";"3935"
"31818";"2014-1";"T3DB01";"3937"
"31820";"2014-1";"T2AB01";"3800"
"31820";"2014-1";"T2BB01";"3801"
"31820";"2014-1";"T2CB01";"3802"
"31820";"2014-1";"T2DB01";"3803"
"31820";"2014-1";"T2EB01";"3804"
"31820";"2014-1";"T2GB01";"3813"
"31869";"2014-1";"T2AB03";"3800"
"31869";"2014-1";"T2EB03";"3804"
"31869";"2014-1";"T2GB03";"3813"
"31888";"2014-1";"T2DB20";"3803"
"31888";"2014-1";"T3AB01";"3805"
"31888";"2014-1";"T3BB01";"3806"
"31888";"2014-1";"T3CB01";"3807"
"31888";"2014-1";"T3EB01";"3809"
"31888";"2014-1";"T3GB01";"3811"
"31888";"2014-1";"T3HB01";"3814"
"31888";"2014-1";"T3IB01";"3935"
"31888";"2014-1";"T3DB01";"3937"
"31926";"2014-1";"T2EB03";"3804"
"31978";"2014-1";"T2DB20";"3803"
"31978";"2014-1";"T3AB01";"3805"
"31978";"2014-1";"T3BB01";"3806"
"31978";"2014-1";"T3CB01";"3807"
"31978";"2014-1";"T3EB01";"3809"
"31978";"2014-1";"T3GB01";"3811"
"31978";"2014-1";"T3HB01";"3814"
"31978";"2014-1";"T3IB01";"3935"
"31978";"2014-1";"T3DB01";"3937"
"31983";"2014-1";"T3AB01";"3805"
"31983";"2014-1";"T3BB01";"3806"
"31983";"2014-1";"T3CB01";"3807"
"31983";"2014-1";"T3EB01";"3809"
"31983";"2014-1";"T3GB01";"3811"
"31983";"2014-1";"T3HB01";"3814"
"31983";"2014-1";"T3IB01";"3935"
"31983";"2014-1";"T3DB01";"3937"
"31986";"2014-1";"T3AB01";"3805"
"31986";"2014-1";"T3BB01";"3806"
"31986";"2014-1";"T3CB01";"3807"
"31986";"2014-1";"T3EB01";"3809"
"31986";"2014-1";"T3GB01";"3811"
"31986";"2014-1";"T3HB01";"3814"
"31986";"2014-1";"T3IB01";"3935"
"31986";"2014-1";"T3DB01";"3937"
"32044";"2014-1";"T3AB02";"3805"
"32044";"2014-1";"T3BB02";"3806"
"32044";"2014-1";"T3CB02";"3807"
"32044";"2014-1";"T3EB02";"3809"
"32044";"2014-1";"T3GB02";"3811"
"32044";"2014-1";"T3HB02";"3814"
"32044";"2014-1";"T3IB02";"3935"
"32044";"2014-1";"T3DB02";"3937"
"32074";"2014-1";"T3AB02";"3805"
"32074";"2014-1";"T3BB02";"3806"
"32074";"2014-1";"T3CB02";"3807"
"32074";"2014-1";"T3EB02";"3809"
"32074";"2014-1";"T3GB02";"3811"
"32074";"2014-1";"T3HB02";"3814"
"32074";"2014-1";"T3IB02";"3935"
