"codigo";"lapso";"cod_mat";"cod_comp"
"44640";"2014-1";"I2BB81";"6050"
"44640";"2014-1";"I2CB81";"6051"
"44640";"2014-1";"I2DB81";"6052"
"44640";"2014-1";"I2EB81";"6053"
"44640";"2014-1";"I2FB81";"6054"
"44640";"2014-1";"I2GB81";"6055"
"44640";"2014-1";"I2HB81";"6056"
"44641";"2014-1";"I2AB81";"6049"
"44641";"2014-1";"I2BB81";"6050"
"44641";"2014-1";"I2CB81";"6051"
"44641";"2014-1";"I2DB81";"6052"
"44641";"2014-1";"I2EB81";"6053"
"44641";"2014-1";"I2FB81";"6054"
"44641";"2014-1";"I2GB81";"6055"
"44641";"2014-1";"I2HB81";"6056"
"44643";"2014-1";"I2AB81";"6049"
"44643";"2014-1";"I2BB81";"6050"
"44643";"2014-1";"I2CB81";"6051"
"44643";"2014-1";"I2DB81";"6052"
"44643";"2014-1";"I2EB81";"6053"
"44643";"2014-1";"I2FB81";"6054"
"44643";"2014-1";"I2GB81";"6055"
"44643";"2014-1";"I2HB81";"6056"
"44644";"2014-1";"I2AB81";"6049"
"44644";"2014-1";"I2BB81";"6050"
"44644";"2014-1";"I2CB81";"6051"
"44644";"2014-1";"I2DB81";"6052"
"44644";"2014-1";"I2EB81";"6053"
"44644";"2014-1";"I2FB81";"6054"
"44644";"2014-1";"I2GB81";"6055"
"44644";"2014-1";"I2HB81";"6056"
"44645";"2014-1";"I2AB81";"6049"
"44645";"2014-1";"I2BB81";"6050"
"44645";"2014-1";"I2CB81";"6051"
"44645";"2014-1";"I2DB81";"6052"
"44645";"2014-1";"I2EB81";"6053"
"44645";"2014-1";"I2FB81";"6054"
"44645";"2014-1";"I2GB81";"6055"
"44645";"2014-1";"I2HB81";"6056"
"44647";"2014-1";"I2AB81";"6049"
"44647";"2014-1";"I2BB81";"6050"
"44647";"2014-1";"I2CB81";"6051"
"44647";"2014-1";"I2DB81";"6052"
"44647";"2014-1";"I2EB81";"6053"
"44647";"2014-1";"I2FB81";"6054"
"44647";"2014-1";"I2GB81";"6055"
"44647";"2014-1";"I2HB81";"6056"
"44648";"2014-1";"I2AB81";"6049"
"44648";"2014-1";"I2BB81";"6050"
"44648";"2014-1";"I2CB81";"6051"
"44648";"2014-1";"I2DB81";"6052"
"44648";"2014-1";"I2EB81";"6053"
"44648";"2014-1";"I2FB81";"6054"
"44648";"2014-1";"I2GB81";"6055"
"44648";"2014-1";"I2HB81";"6056"
"44649";"2014-1";"I2AB81";"6049"
"44649";"2014-1";"I2BB81";"6050"
"44649";"2014-1";"I2CB81";"6051"
"44649";"2014-1";"I2DB81";"6052"
"44649";"2014-1";"I2EB81";"6053"
"44649";"2014-1";"I2FB81";"6054"
"44649";"2014-1";"I2GB81";"6055"
"44649";"2014-1";"I2HB81";"6056"
"44650";"2014-1";"I2AB81";"6049"
"44650";"2014-1";"I2BB81";"6050"
"44650";"2014-1";"I2CB81";"6051"
"44650";"2014-1";"I2DB81";"6052"
"44650";"2014-1";"I2EB81";"6053"
"44650";"2014-1";"I2FB81";"6054"
"44650";"2014-1";"I2GB81";"6055"
"44650";"2014-1";"I2HB81";"6056"
"44651";"2014-1";"I2AB81";"6049"
"44651";"2014-1";"I2BB81";"6050"
"44651";"2014-1";"I2CB81";"6051"
"44651";"2014-1";"I2DB81";"6052"
"44651";"2014-1";"I2EB81";"6053"
"44651";"2014-1";"I2FB81";"6054"
"44651";"2014-1";"I2GB81";"6055"
"44651";"2014-1";"I2HB81";"6056"
"44652";"2014-1";"I2AB81";"6049"
"44652";"2014-1";"I2BB81";"6050"
"44652";"2014-1";"I2CB81";"6051"
"44652";"2014-1";"I2DB81";"6052"
"44652";"2014-1";"I2EB81";"6053"
"44652";"2014-1";"I2FB81";"6054"
"44652";"2014-1";"I2GB81";"6055"
"44652";"2014-1";"I2HB81";"6056"
"44653";"2014-1";"I2AB81";"6049"
"44653";"2014-1";"I2BB81";"6050"
"44653";"2014-1";"I2CB81";"6051"
"44653";"2014-1";"I2DB81";"6052"
"44653";"2014-1";"I2EB81";"6053"
"44653";"2014-1";"I2FB81";"6054"
"44653";"2014-1";"I2GB81";"6055"
"44653";"2014-1";"I2HB81";"6056"
"44654";"2014-1";"I2AB81";"6049"
"44654";"2014-1";"I2BB81";"6050"
"44654";"2014-1";"I2CB81";"6051"
"44654";"2014-1";"I2DB81";"6052"
"44654";"2014-1";"I2EB81";"6053"
"44654";"2014-1";"I2FB81";"6054"
"44654";"2014-1";"I2GB81";"6055"
"44654";"2014-1";"I2HB81";"6056"
"44664";"2014-1";"I2AB81";"6049"
"44664";"2014-1";"I2BB81";"6050"
"44664";"2014-1";"I2CB81";"6051"
"44664";"2014-1";"I2DB81";"6052"
"44664";"2014-1";"I2EB81";"6053"
"44664";"2014-1";"I2FB81";"6054"
"44664";"2014-1";"I2GB81";"6055"
"44664";"2014-1";"I2HB81";"6056"
"44665";"2014-1";"I2AB81";"6049"
"44665";"2014-1";"I2BB81";"6050"
"44665";"2014-1";"I2CB81";"6051"
"44665";"2014-1";"I2DB81";"6052"
"44665";"2014-1";"I2EB81";"6053"
"44665";"2014-1";"I2FB81";"6054"
"44665";"2014-1";"I2GB81";"6055"
"44665";"2014-1";"I2HB81";"6056"
